"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G11-203","group1.1","Star","Mobile App Testing: Galina Fedina","galinadvy","7 Nov 2022","9 Nov 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)",,"0"
"G11-238","group1.1","Star","User can't be registered via phone number from any country.","galinadvy","9 Nov 2022","9 Nov 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,"No environment","G11-193","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Tap on 'profile'.

3\. Tap on 'registration' and input test data.

*Result:* User can't be registered via phone number from any country.

*Expected result:* User can be registered via real phone number from any country which is out from list (it's about the list of countries which cooperate with the market).","0"
"G11-237","group1.1","Star","User can't input e-mail into registration field.","galinadvy","9 Nov 2022","9 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,"No environment","G11-190","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Tap on 'profile'.

3\. Tap on 'registration' and try to input letters.

*Result:* User can't input e-mail into registration field.

*Expected result:* User can input e-mail into registration field.","0"
"G11-236","group1.1","Star","User can't input a phone number with a length more than 12 numbers.","galinadvy","9 Nov 2022","9 Nov 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,"No environment","G11-189","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Tap on 'profile'.

3\. Tap on 'registration' and input test data.

*Result:* User can't input a phone number with a length more than 12 numbers.

*Expected result:* The user can input more than 12 numbers into the field.","0"
"G11-234","group1.1","Star","Profile: user can't choose a language in profile settings.","galinadvy","9 Nov 2022","9 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,"No environment","G11-185","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Tap on 'profile'.

3\. Check the function of language changing.

*Result:* It's not possible to change language.

*Expected result:* The possibility of changing language in app is presented.","0"
"G11-233","group1.1","Star","The button 'home' in app doesn't return user to the beginning of the list (when user scrolls down the initial page).","galinadvy","8 Nov 2022","9 Nov 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Scroll down the initial page.

3\. Tap on the button ""Home"" in app.

*Result:* Nothing changes.

*Expected result:* The button 'home' in app returns user to the beginning of the list.","0"
"G11-232","group1.1","Star","The app screen doesn't change the orientation if ""portrait"" is on and the phone is turned.","galinadvy","8 Nov 2022","9 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Check the function 'portrait' is on.

3\. Rotate the phone.

*Result:* The app screen does not change the orientation (but in other apps it works).

*Expected result:* The app screen changes the orientation if ""portrait"" is on and the phone is turned.","0"
"G11-235","group1.1","Star","The warning message about the short length of number is not presented before clicking on ""get a code"".","galinadvy","9 Nov 2022","9 Nov 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,"No environment","G11-187","*Pre-conditions:* The app is installed.

1\. Open the app.

2\. Tap on 'profile'.

3\. Tap on 'registration' and input test data.

*Result:* The warning message about the short length of number is not presented before clicking on ""get a code"".

*Expected result:* The warning message about the short length of number is presented before clicking on ""get a code"".","0"
"G11-26","group1.1","Star","Testing Documentation Galina Fedina","galinadvy","22 Sep 2022","7 Nov 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"Windows 10 Pro Version 21H1 Google ChromeVersion 105.0.5195.102","No qase tc # (only for bug)",,"0"
"G11-138","group1.1","Star","Shopping cart: The possibility of removing items in 'mini shopping cart' is absent.","galinadvy","2 Oct 2022","4 Oct 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,"Windows 10 Pro Version 21H1, Google ChromeVersion 105.0.5195.102","No qase tc # (only for bug)","*Pre-conditions:* Some items are added to the shopping cart.

*STR:*

1. Open the main page.
2. Point the cursor to the shopping cart to see 'mini shopping cart' with list of chosen items.

   *Result:* The possibility of removing items in 'mini shopping cart' is absent.

   *Expected result:* Customer can remove items inside 'mini shopping cart'.","0"
"G11-137","group1.1","Star","Web App Testing Galina Fedina","galinadvy","2 Oct 2022","3 Oct 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,"No environment","No qase tc # (only for bug)",,"0"
"G11-155","group1.1","Star","Payment by credit card: Amex. The information ‘Transaction not permitted to CH' is absent and the payment is not rejected.","galinadvy","3 Oct 2022","3 Oct 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,"Windows 10 Pro Version 21H1, Microsoft Edge Version 105.0.1343.50","No qase tc # (only for bug)","*Pre-conditions:* All steps on pages: shopping cart, checkout, billing address, shipping address, shipping method are selected and filled with valid values.

*STR:*

1\.  Select the 'credit card' in section 'payment method'.

2\.  Click the button 'continue', it opens page 'payment information'.

3\.  Fill all fields in this label with required values from the comment in table 'check-list' (for this case it will be test number 21).

*Result:* The information ‘Transaction not permitted to CH’ is absent and order has been successfully processed.

*Expected result:* The information ‘Transaction not permitted to CH’ is presented and the payment is rejected.","0"
"G11-154","group1.1","Star","Payment by credit card: Amex. The information ‘Insufficient funds' is absent and the payment is not rejected.","galinadvy","3 Oct 2022","3 Oct 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,"Windows 10 Pro Version 21H1, Microsoft Edge Version 105.0.1343.50","No qase tc # (only for bug)","*Pre-conditions:* All steps on pages: shopping cart, checkout, billing address, shipping address, shipping method are selected and filled with valid values.

*STR:*

1\. Select the 'credit card' in section 'payment method'.

2\. Click the button 'continue', it opens page 'payment information'.

3\. Fill all fields in this label with required values from the comment in table 'check-list' (for this case it will be test number 20).

*Result:* The information ‘Insufficient funds’ is absent and order has been successfully processed.

*Expected result:* The information ‘Insufficient funds’ is presented and the payment is rejected.","0"
"G11-153","group1.1","Star","Payment by credit card: Amex. The information ‘Pick up. Stolen card' is absent and the payment is not rejected.","galinadvy","3 Oct 2022","3 Oct 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,"Windows 10 Pro Version 21H1, Microsoft Edge Version 105.0.1343.50","No qase tc # (only for bug)","*Pre-conditions:* All steps on pages: shopping cart, checkout, billing address, shipping address, shipping method are selected and filled with valid values.

*STR:*

1\.  Select the 'credit card' in section 'payment method'.

2\.  Click the button 'continue', it opens page 'payment information'.

3\.  Fill all fields in this label with required values from the comment in table 'check-list' (for this case it will be test number 19).

*Result:* The information ‘Pick up. Stolen card’ is absent and order has been successfully processed.

*Expected result:* The information ‘Pick up. Stolen card’ is presented and the payment is rejected.","0"
